year,region,wine,beer,vodka,champagne,brandy,cartodb_id,birth_rate,death_rate,urbanization,population
1999,Чевашская республика,2.8,25.5,10.8,0.4,0.02,49,9.1,13.5,60.1,1207.88
1999,Челябинская область,4.5,32.5,14.0,0.9,0.1,24,8.5,14.4,81.48,3442.81
1999,Чечня,6.7,10.4,2.2,0.5,0.4,32,8.4,12.1,36.83,1497.99
1999,Чукотка,0.4,2.3,6.7,0.6,0.1,68,10.4,8.2,68.7,49.53
1999,Ямало-Ненецкий автономный округ,4.1,34.4,13.5,0.7,0.3,70,12.2,5.2,83.39,547.01
1999,Ярославская область,3.6,39.6,21.1,0.8,0.2,66,6.8,18.4,80.48,1241.42
2000,Адыгея,3.1,27.4,5.4,0.6,0.1,37,9.1,15.0,52.86,463.17
2000,Алтайский край,2.1,33.2,9.9,1.3,0.1,17,9.3,14.3,52.77,2296.35
2000,Амурская область,2.4,28.5,15.8,0.7,0.2,81,10.2,14.6,66.46,781.85
2000,Архангельская область,5.5,29.3,19.2,0.9,0.5,2,8.8,16.3,74.74,1082.66
2000,Астраханская область,3.7,31.0,10.0,0.6,0.1,33,9.9,14.3,67.88,997.78
2000,Башкортостан,1.4,33.1,12.2,0.2,0.2,61,10.1,13.0,64.08,4013.79
2000,Белгородская область,3.6,20.7,10.1,0.9,0.1,26,8.0,15.5,65.06,1541.26
2000,Брянская область,3.0,36.4,7.6,0.4,0.1,27,7.8,18.2,68.39,1182.68
2000,Бурятия,1.6,17.1,16.6,0.6,0.03,10,11.6,13.1,59.73,985.43
2000,Владимирская область,2.3,22.1,14.5,0.5,0.1,22,7.6,19.1,79.85,1342.1
2000,Волгоградская область,1.8,40.9,9.0,1.9,0.3,29,8.2,15.2,74.81,2474.56
2000,Вологодская область,3.7,33.2,19.2,0.5,0.2,55,8.8,16.0,68.72,1151.04
2000,Воронежская область,3.4,24.8,9.1,1.2,0.2,15,7.6,17.9,61.44,2792.8
2000,Дагестан,3.8,1.8,1.0,0.2,0.1,14,15.5,6.5,42.57,3133.3
2000,Еврейская автономная область,4.8,13.4,12.2,0.5,0.1,80,9.7,14.5,66.92,156.5
2000,Забайкальский край,1.9,16.4,7.0,0.3,0.1,9,11.8,14.5,63.6,1053.49
2000,Ивановская область,2.5,47.5,14.2,0.2,0.1,57,7.2,20.8,82.46,987.03
2000,Ингушетия,6.9,30.2,0.5,0.8,0.2,34,21.5,5.4,42.87,515.56
2000,Иркутская область,6.0,39.4,15.5,1.3,0.5,82,10.7,15.5,79.64,2375.02
2000,Кабардино-Балкарская республика,2.5,17.3,10.5,0.6,0.4,36,10.4,10.0,56.64,869.19
2000,Калининградская область,3.2,38.4,15.8,1.3,0.8,47,7.9,15.2,77.63,1018.62
2000,Калужская область,2.2,30.4,9.0,0.6,0.2,64,7.4,18.1,74.41,1000.98
2000,Камчатский край,7.1,32.7,26.6,0.8,0.4,8,9.3,11.0,80.85,311.67
2000,Карачаево-Черкесская республика,2.2,7.4,12.9,0.2,0.1,13,10.6,11.3,43.78,465.36
2000,Кемеровская область,2.3,26.6,17.3,0.6,0.2,78,9.0,16.7,86.48,2633.45
2000,Кировская область,1.8,15.5,12.8,0.3,0.1,52,8.1,16.8,70.89,1250.17
2000,Костромская область,1.3,24.0,15.2,0.3,0.1,53,8.1,18.9,66.56,628.42
